CPI_Target_Plan;CDR_SSDV_S0_Plan;Weight_S2_Plan;Non-Critical_Error_Target_Plan;CDR_DTR_Plan;CDR_SSDV_S1_Plan;CDR_SDD_Plan;Weight_Plan;FRR_SST_Plan;CDR_SL_Plan;Drag_Coef_Plan;BurnRate_Planned_S1;Critical_Error_Target_Plan;BurnRate_Planned_S0;BurnRate_Planned_S3;BurnRate_Planned_S2;CDR_SSDV_S3_Plan;Budget_Planned_Total;Budget_Planned_S1;CostVar_Plan;Budget_Planned_S0;Budget_Planned_S3;Budget_Planned_S2;CDR_VVSIL_Plan;SchedVar_Plan;CDR_ED_Plan;SPI_Target_Plan;PropulsionEff_Plan;Weight_S1_Plan;Range_Plan;BurnRate_Planned_Total;CDR_SSDV_S2_Plan;
1.0;5.699000000000006;2403.886799999994;13.735000000000015;0.0;5.699000000000006;0.0;9514.546799999966;25.0;0.0;0.02866190999999999;1.41;0.5535000000000002;1.33;0.52;3.52;5.3299999999999965;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;19.509999999999977;1.0;0.3274;7160.660000000009;5342.914400000005;6.78;13.530000000000001;
1.0;5.838000000000006;2403.9815999999937;14.070000000000016;0.0;5.838000000000006;0.0;9514.901599999965;25.0;0.0;0.028663419999999988;1.41;0.5670000000000002;1.33;0.52;3.52;5.459999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;19.619999999999976;1.0;0.3274;7160.920000000009;5342.7406000000055;6.78;13.860000000000001;
1.0;5.9770000000000065;2404.0763999999936;14.405000000000017;0.0;5.9770000000000065;0.0;9515.256399999964;25.0;0.0;0.028664929999999988;1.41;0.5805000000000001;1.33;0.52;3.52;5.589999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;19.729999999999976;1.0;0.3274;7161.180000000009;5342.566800000006;6.78;14.190000000000001;
1.0;6.116000000000007;2404.1711999999934;14.740000000000018;0.0;6.116000000000007;0.0;9515.611199999963;25.0;0.0;0.028666439999999987;1.41;0.5940000000000001;1.33;0.52;3.52;5.719999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;19.839999999999975;1.0;0.3274;7161.44000000001;5342.393000000006;6.78;14.520000000000001;
1.0;6.255000000000007;2404.2659999999933;15.075000000000019;15.0;6.255000000000007;0.0;9515.965999999962;25.0;0.0;0.028667949999999987;1.41;0.6075;1.33;0.52;3.52;5.849999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;19.949999999999974;1.0;0.3274;7161.70000000001;5342.219200000007;6.78;14.850000000000001;
1.0;6.394000000000007;2404.360799999993;15.41000000000002;15.0;6.394000000000007;0.0;9516.320799999961;25.0;0.0;0.028669459999999987;1.41;0.621;1.33;0.52;3.52;5.979999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;20.059999999999974;1.0;0.3274;7161.96000000001;5342.045400000007;6.78;15.180000000000001;
1.0;6.5330000000000075;2404.455599999993;15.74500000000002;15.0;6.5330000000000075;0.0;9516.67559999996;25.0;0.0;0.028670969999999987;1.41;0.6345;1.33;0.52;3.52;6.109999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;20.169999999999973;1.0;0.3274;7162.22000000001;5341.871600000008;6.78;15.510000000000002;
1.0;6.672000000000008;2404.550399999993;16.08000000000002;15.0;6.672000000000008;0.0;9517.03039999996;25.0;0.0;0.028672479999999986;1.41;0.6479999999999999;1.33;0.52;3.52;6.239999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;20.279999999999973;1.0;0.3274;7162.4800000000105;5341.697800000008;6.78;15.840000000000002;
1.0;6.811000000000008;2404.6451999999927;16.41500000000002;15.0;6.811000000000008;0.0;9517.385199999959;25.0;0.0;0.028673989999999986;1.41;0.6614999999999999;1.33;0.52;3.52;6.369999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;20.389999999999972;1.0;0.3274;7162.740000000011;5341.5240000000085;6.78;16.17;
1.0;6.950000000000008;2404.7399999999925;16.75000000000002;15.0;6.950000000000008;0.0;9517.739999999958;25.0;0.0;0.028675499999999986;1.41;0.6749999999999998;1.33;0.52;3.52;6.499999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;20.49999999999997;1.0;0.3274;7163.000000000011;5341.350200000009;6.78;16.5;
1.0;7.089000000000008;2404.8347999999924;17.085000000000022;15.0;7.089000000000008;0.0;9518.094799999957;25.0;0.0;0.028677009999999985;1.41;0.6884999999999998;1.33;0.52;3.52;6.6299999999999955;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;20.60999999999997;1.0;0.3274;7163.260000000011;5341.176400000009;6.78;16.83;
1.0;7.228000000000009;2404.929599999992;17.420000000000023;15.0;7.228000000000009;0.0;9518.449599999956;25.0;0.0;0.028678519999999985;1.41;0.7019999999999997;1.33;0.52;3.52;6.759999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;20.71999999999997;1.0;0.3274;7163.520000000011;5341.00260000001;6.78;17.159999999999997;
1.0;7.367000000000009;2405.024399999992;17.755000000000024;15.0;7.367000000000009;0.0;9518.804399999955;25.0;0.0;0.028680029999999985;1.41;0.7154999999999997;1.33;0.52;3.52;6.889999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;20.82999999999997;1.0;0.3274;7163.780000000012;5340.82880000001;6.78;17.489999999999995;
