CPI_Target_Plan;CDR_SSDV_S0_Plan;Weight_S2_Plan;RangeObj_Plan;CDR_DTR_Plan;Non-Critical_Error_Target_Plan;CDR_SSDV_S1_Plan;CDR_SDD_Plan;Weight_Plan;FRR_SST_Plan;CDR_SL_Plan;Drag_Coef_Plan;BurnRate_Planned_S1;BurnRate_Planned_S0;Critical_Error_Target_Plan;BurnRate_Planned_S3;BurnRate_Planned_S2;CDR_SSDV_S3_Plan;Budget_Planned_Total;Budget_Planned_S1;CostVar_Plan;Budget_Planned_S0;Budget_Planned_S3;Budget_Planned_S2;CDR_VVSIL_Plan;SchedVar_Plan;CDR_ED_Plan;SPI_Target_Plan;PropulsionEff_Plan;Weight_S1_Plan;BurnRate_Planned_Total;CDR_SSDV_S2_Plan;
1.0;6.116000000000007;2404.1711999999934;5200.0;0.0;14.740000000000018;6.116000000000007;0.0;9515.611199999963;25.0;0.0;2.5559400000000094;1.41;1.33;0.5940000000000001;0.52;3.52;5.719999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;19.839999999999975;1.0;1240.0;7161.44000000001;6.78;14.520000000000001;
1.0;6.255000000000007;2404.2659999999933;5200.0;15.0;15.075000000000019;6.255000000000007;0.0;9515.965999999962;25.0;0.0;2.5560750000000096;1.41;1.33;0.6075;0.52;3.52;5.849999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;19.949999999999974;1.0;1240.0;7161.70000000001;6.78;14.850000000000001;
1.0;6.394000000000007;2404.360799999993;5200.0;15.0;15.41000000000002;6.394000000000007;0.0;9516.320799999961;25.0;0.0;2.55621000000001;1.41;1.33;0.621;0.52;3.52;5.979999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;20.059999999999974;1.0;1240.0;7161.96000000001;6.78;15.180000000000001;
1.0;6.5330000000000075;2404.455599999993;5200.0;15.0;15.74500000000002;6.5330000000000075;0.0;9516.67559999996;25.0;0.0;2.55634500000001;1.41;1.33;0.6345;0.52;3.52;6.109999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;20.169999999999973;1.0;1240.0;7162.22000000001;6.78;15.510000000000002;
1.0;6.672000000000008;2404.550399999993;5200.0;15.0;16.08000000000002;6.672000000000008;0.0;9517.03039999996;25.0;0.0;2.5564800000000103;1.41;1.33;0.6479999999999999;0.52;3.52;6.239999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;20.279999999999973;1.0;1240.0;7162.4800000000105;6.78;15.840000000000002;
1.0;6.811000000000008;2404.6451999999927;5200.0;15.0;16.41500000000002;6.811000000000008;0.0;9517.385199999959;25.0;0.0;2.5566150000000105;1.41;1.33;0.6614999999999999;0.52;3.52;6.369999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;20.389999999999972;1.0;1240.0;7162.740000000011;6.78;16.17;
1.0;6.950000000000008;2404.7399999999925;5200.0;15.0;16.75000000000002;6.950000000000008;0.0;9517.739999999958;25.0;0.0;2.5567500000000107;1.41;1.33;0.6749999999999998;0.52;3.52;6.499999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;20.49999999999997;1.0;1240.0;7163.000000000011;6.78;16.5;
1.0;7.089000000000008;2404.8347999999924;5200.0;15.0;17.085000000000022;7.089000000000008;0.0;9518.094799999957;25.0;0.0;2.556885000000011;1.41;1.33;0.6884999999999998;0.52;3.52;6.6299999999999955;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;20.60999999999997;1.0;1240.0;7163.260000000011;6.78;16.83;
1.0;7.228000000000009;2404.929599999992;5200.0;15.0;17.420000000000023;7.228000000000009;0.0;9518.449599999956;25.0;0.0;2.557020000000011;1.41;1.33;0.7019999999999997;0.52;3.52;6.759999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;20.71999999999997;1.0;1240.0;7163.520000000011;6.78;17.159999999999997;
1.0;7.367000000000009;2405.024399999992;5200.0;15.0;17.755000000000024;7.367000000000009;0.0;9518.804399999955;25.0;0.0;2.5571550000000114;1.41;1.33;0.7154999999999997;0.52;3.52;6.889999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;20.82999999999997;1.0;1240.0;7163.780000000012;6.78;17.489999999999995;
